title,link,snippet
Recommendations for Datasets for Source Code ...,https://aclanthology.org/N19-1394,"In this paper, we make recommendations for these standards from experimental results. We release a dataset based on prior work of over 2.1m pairs of Java ..."
Aligning Recommendation and Conversation via Dual ...,https://aclanthology.org/2022.emnlp-main.36,Abstract. Human conversations of recommendation naturally involve the shift of interests which can align the recommendation actions and conversation process ...
Neural News Recommendation with Multi-Head Self- ...,https://aclanthology.org/D19-1671,"In this paper, we propose a neural news recommendation approach with multi-head self-attention (NRMS). The core of our approach is a news encoder and a user ..."
Assessing Objective Recommendation Quality through ...,https://aclanthology.org/D17-1250,"Abstract. Recommendations are often rated for their subjective quality, but few researchers have studied comment quality in terms of objective utility."
Deep Learning-based Online Alternative Product ...,https://aclanthology.org/2020.ecnlp-1.3,"In this paper, we use both textual product information (e.g. product titles and descriptions) and customer behavior data to recommend alternative products. Our ..."
Justifying Recommendations using Distantly-Labeled ...,https://aclanthology.org/D19-1018,"In terms of data, we first propose an 'extractive' approach to identify review segments which justify users' intentions; this approach is then used to distantly ..."
A Large-Scale Conversational Recommendation Dataset ...,https://aclanthology.org/2022.lrec-1.622,"Compared to the traditional recommendation, it advocates wealthier interactions and provides possibilities to obtain users' exact preferences explicitly."
Authorship Identification for Literary Book Recommendations,https://aclanthology.org/C18-1033,"We propose a system that recommends books after learning their authors' style. To our knowledge, this is the first work that applies the information learned by ..."
Neural News Recommendation with Long- and Short-term ...,https://aclanthology.org/P19-1033,Personalized news recommendation is important to help users find their interested news and improve reading experience. A key problem in news recommendation is ...
Identifying Evidence for Explainable Recommendations,https://aclanthology.org/2020.aacl-main.89,"To tackle the challenge, this paper proposes a novel and practical task to explain evidences in recommending hotels given vague requests expressed freely in ..."
