title,link,snippet
Generating Training Data with Language Models,https://papers.nips.cc/paper_files/paper/2022/hash/0346c148ba1c21c6b4780a961ea141dc-Abstract-Conference.html,"In this paper, we present a simple approach that uses both types of PLMs for fully zero-shot learning of NLU tasks without requiring any task-specific data: A ..."
Large Language Models are Zero-Shot Reasoners,http://papers.nips.cc/paper_files/paper/2022/hash/8bb0d291acd4acf06ef112099c16f326-Abstract-Conference.html,"The versatility of this single prompt across very diverse reasoning tasks hints at untapped and understudied fundamental zero-shot capabilities of LLMs, ..."
Neural Word Embedding as Implicit Matrix Factorization,https://papers.nips.cc/paper/5477-neural-word-embedding-as-implicit-matrix-factorization.pdf,"Most tasks in natural language processing and understanding involve looking at words, and could benefit from word representations that do not treat individual ..."
Dialog-based Language Learning,https://papers.nips.cc/paper/6264-dialog-based-language-learning,"This kind of supervision is not realistic of how humans learn, where language is both learned by, and used for, communication. In this work, we study dialog- ..."
Are GANs overkill for NLP?,https://papers.nips.cc/paper_files/paper/2022/hash/3b54ff26ae928fb2f111198c75f6a7e3-Abstract-Conference.html,"This work offers a novel theoretical perspective on why, despite numerous attempts, adversarial approaches to generative modeling (e.g., GANs) have not been as ..."
Retrieval-Augmented Generation for Knowledge-Intensive ...,https://papers.nips.cc/paper/2020/hash/6b493230205f780e1bc26945df7481e5-Abstract.html,"... NLP tasks. However, their ability to access and precisely manipulate knowledge is still limited, and hence on knowledge-intensive tasks, their performance ..."
An NLP Benchmark Dataset for Assessing Corporate ...,https://papers.nips.cc/paper_files/paper/2023/hash/7ccaa4f9a89cce6619093226f26b84e6-Abstract-Datasets_and_Benchmarks.html,"Abstract. As societal awareness of climate change grows, corporate climate policy engagements are attracting attention.We propose a dataset to estimate ..."
Measuring and Reducing Model Update Regression in ...,https://papers.nips.cc/paper_files/paper/2022/hash/7af8e3dfefe6e3141144197b8fa44f79-Abstract-Conference.html,Abstract. Recent advance in deep learning has led to rapid adoption of machine learning based NLP models in a wide range of applications. Despite the continuous ...
Natural Language Instruction-following with Task ... - NIPS,https://papers.nips.cc/paper_files/paper/2023/hash/1dc2fe8d9ae956616f86bab3ce5edc59-Abstract-Conference.html,Abstract. Natural language-conditioned reinforcement learning (RL) enables agents to follow human instructions. Previous approaches generally implemented ...
Hierarchical Decision Making by Generating and Following ...,https://papers.nips.cc/paper/9193-hierarchical-decision-making-by-generating-and-following-natural-language-instructions,"Authors. Hengyuan Hu, Denis Yarats, Qucheng Gong, Yuandong Tian, Mike Lewis. Abstract. We explore using latent natural language instructions as an ..."
